"File","Coder","Coded","Id","Codename","Coded_Memo","Category","Category","Category"
"Entrevistado 5.docx","default"," Acho que primeiro tem a questão do aumento populacional, que a gente vê isso aí, a quantidade de gente que existe e que quer cada vez mais participar. Uma mudança de perfil econômico também, porque eu que vivi nos anos 80, que era um prazer muito mais pobre, entendeu? Muito mais pobre, muito mais pobre. Então a gente não tinha isso, não se pensava, ah, vou construir um monte de casa. No máximo você tinha um loteamento, o cara comprava um lotezinho, ficava ali, passava, não sei qual posição, costumava uma casinha. Com o tempo e o Brasil se tornando cada vez mais uma economia mais representativa, a gente está entre as dez economias do mundo, a gente tem uma pressão natural e as pessoas querem fugir das coisas boas que o país oferece. A ASET, elas têm essa área costeira gigante da gente e aqui dentro do território da APA a gente viu isso, como eu estava falando aqui, por exemplo, a área rural e agora é uma área urbana e tem vários condomínios sendo feitos, tem hotéis, tem pousada, tem restaurantes, tem várias coisas e eu acho que isso é natural do desenvolvimento histórico.","ctid:327","1 Acesso de grupos com maior oportunidade econômica","","Acesso igualitário à recursos","Núcleo Profundo"
"Entrevistado 10.docx","default","eu acho que poderia ter grupos vendendo lá fora a nossa riqueza, vendendo o que eu te falo é captando investidores, né? Captando investidores, porque a gente tem um paraíso aqui, a gente tem muita área pra que se venha desenvolver hotéis, resorts, ecoparks, né? Então, assim, eu acho que falta vender a ideia para investidores virem abranger essa área, eu acho muito carente de infraestrutura, muito carente","ctid:39","1 Atração de investimentos via empresas","","Papel do turismo","Núcleo de Políticas"
"Entrevistado 5.docx","default","E aí tem de hotéis, boate, residências, às vezes usinas nucleares, entendeu? E tudo acontece. ","ctid:333","1 Atração de investimentos via empresas","","Papel do turismo","Núcleo de Políticas"
"Entrevistado 5.docx","default","Uma mudança de perfil econômico também, porque eu que vivi nos anos 80, que era um prazer muito mais pobre, entendeu? Muito mais pobre, muito mais pobre. Então a gente não tinha isso, não se pensava, ah, vou construir um monte de casa. No máximo você tinha um loteamento, o cara comprava um lotezinho, ficava ali, passava, não sei qual posição, costumava uma casinha. Com o tempo e o Brasil se tornando cada vez mais uma economia mais representativa, a gente está entre as dez economias do mundo, a gente tem uma pressão natural e as pessoas querem fugir das coisas boas que o país oferece. A ASET, elas têm essa área costeira gigante da gente e aqui dentro do território da APA a gente viu isso, como eu estava falando aqui, por exemplo, a área rural e agora é uma área urbana e tem vários condomínios sendo feitos, tem hotéis, tem pousada, tem restaurantes, tem várias coisas e eu acho que isso é natural do desenvolvimento histórico","ctid:334","1 Atração de investimentos via empresas","","Papel do turismo","Núcleo de Políticas"
"Entrevistado 1.docx","default","Cara, tem um ong aí que eu vou sincero para todos, não vale nem a pena citar, mas não vale nada. A verdade é essa. Tem uns que brigam por nada, só para ter poder. Então, sobre ongs eu não sou muito favorável não, entendeu? Eu sou sincero para vocês.","ctid:13","1 Completamente desnecessárias","","Existência de ONGs ambientalistas","Núcleo de Políticas"
"Entrevistado 18.docx","default","Ongs é bom para ganhar dinheiro, mas trabalhando nas comunidades eu não vejo muito essa praia deles, aí eles ganham a moto, botam a moto para a praia, ganham quadriciclo, mas eu acho que a ong deveria trabalhar nas escolas, trabalhar nas comunidades, ter um ponto fixo em cada comunidade para estar esclarecendo, conversando com esse pessoal, fazer uma reunião uma vez a cada três meses, para que as pessoas tenham conhecimento do que é um ong que está fazendo, olha, não é somente resgatar um peixe, botar lá na maré, tem um ponto para encalhar, tem uma baleiazinha, filhote de baleia,  que tem um período que, meu Deus, todos os anos, duas, três filhote de baleia que ele encalhava e morria, porque elas vêm aqui fora, passam cardume de baleia, a gente vê que dá para ver aquele espirral da água, então, às vezes, os barqueiros vão ter umas prós para olharem, passarem, passam muito, dozes, e uma delas está prenha, e quando ela não consegue querer os filhotes morrerem, grita muito, aí ela vai... e a gente não pode fazer nada, porque a gente não tem ongs adequados dentro das comunidades, não tem apetrecho adequado, porque você tem que botar um apetrecho que vai puxar ele, levantar ele e levar ele para o mar, a gente não tem barqueiro adequado que receba esse treinamento, então, o que é que a ong está fazendo? Você está comendo dinheiro? Ela deveria fazer isso, trazer a realidade para as comunidades, ensinar as pessoas a trabalharem, mesmo que ele, ah, eu vou dar um equipamento a você, eu vou dar um incentivo a você, não precisa pagar essa hora, mas bando um incentivo, que eles venham, quando vocês usarem isso, vocês vão ganhar um bônus, você vai ganhar uma ajuda, isso era importante para eles, porque também ele não vai trabalhar sabendo que um ong está comendo dinheiro, ele vai trabalhar para um ong de graça, só a consciência, né? Se dá o mel porque a abelha fez, alguém tem que trabalhar para alguém, né?","ctid:207","1 Completamente desnecessárias","","Existência de ONGs ambientalistas","Núcleo de Políticas"
"Entrevistado 10.docx","default","Sim, eu acho que poderia ter grupos vendendo lá fora a nossa riqueza, vendendo o que eu te falo é captando investidores, né? Captando investidores, porque a gente tem um paraíso aqui, a gente tem muita área pra que se venha desenvolver hotéis, resorts, ecoparks, né? Então, assim, eu acho que falta vender a ideia para investidores virem abranger essa área, eu acho muito carente de infraestrutura, muito carente, eu tô falando pelo nosso município. Aqui, pra você ter ideia, a gente aqui não tem uma sapataria, né? Outra coisa que a gente não  tem aqui, coisa simples, só pra você ter ideia, a gente não tem aqui um sapateiro pra trocar salto de sapato, né? A gente não tem aqui uma loja de esportes pra vender bola de futebol, profissional, troféu, ternos de futebol, a gente não tem. Com uma cidade com 61 anos, nós temos, né? E que vem da civilização desde a época dos índios caetéis aqui, então eu acho que tem que se desenvolver mais, mas o erro começa pelo estado, né? A gente não tem aqui nenhuma rodovia, uma malha que você consiga trazer um investidor pra construir uma faculdade, por exemplo. Aqui no nosso município, no município ao lado ou no município vizinho, porque quando um investidor de uma faculdade privada, por exemplo, o Rio de Janeiro ou São Paulo, vem aqui pegar essa malha, ele vai dizer A gente quer que a minha vida não tenha condições, então eu acho que é um conjunto, sabe, professor? Eu acho que isso é um conjunto que tem que começar pelo estado, pela união, pelo estado, falando de desenvolvimento de investidores, tem que ter o mínimo de infraestrutura. E a infraestrutura começa logo pela rodovia, né? Os portais das cidades, a rodovia, a linha de ônibus, né? A gente está com a felicidade que vai ter o aeroporto agora de cargas aqui ao lado, vai desafogar o Recife, com isso tem a ter uma inserção de empresas voltada na área logística, aqui nessa região logo logo.","ctid:40","1 Desenvolvimento que prioriza a economia","","Visão sobre desenvolvimento","Núcleo Profundo"
"Entrevistado 10.docx","default","Vai, tem que existir, eu acho que tem que se desenvolver, eu não quero viver numa bolha, mesmo se eu estou como secretário no meu ambiente, a gente não pode idealizar uma bolha, não vou viver aqui nessa cidade, eu sou secretário, uma bolha de mata, eu não quero que nada venha para cá para desenvolver, não tem que se desenvolver, mas com estudos preliminares. Eu acho que tem que existir a expansão industrial, mas não como antigamente, na época da revolução industrial, por exemplo, principalmente lá no Rio de Janeiro, onde tudo começou em Salvador, que é, destrói tudo, destrói todos os hectares de mata atlântica para implantar uma indústria, não, tem formatos de implantar uma indústria, onde em áreas que não venha ter um impacto tão grande, que esse impacto que venha ter seja compensado, tem que existir, sem dúvida.","ctid:41","1 Desenvolvimento que prioriza a economia","","Visão sobre desenvolvimento","Núcleo Profundo"
"Entrevistado 5.docx","default","Sim, é claro, eu acho que seria o ideal. A gente tem locais muito bonitos e com potencial muito grande, principalmente a parte turística. Mas a gente vê isso, tem uma parte estrutural, de infraestrutura mesmo, física, de estradas, até de aeroportos e portas e etc, que é muito fraca. Eu estou falando disso, mas estou falando de iluminação, de coleta de lixo, tudo isso deixa muito a desejar. A gente vê municípios que, como está Tamandaré, por exemplo, que arrecada bem e bastante, mas peca na hora de entregar serviço para a população, como está dizendo, a gente mesmo tem que fazer a limpeza da praia. A gente paga em IPTU, paga em etc, etc. E se deixar, a gente vai deixar aqui, o cara ficar andando no meio de um monte de lixo, até porque também prejudica o turismo. Que isso aqui é sair, hoje os carneiros têm essa projeção, se você tiver um negócio cheio de lixo, botar foto, a praia de carneiro está em lixo, sai no Jornal Nacional. Sai porque a praia é tão conhecida que ela ganha manchete para o bem e para o mal, então os municípios deveriam ser mais desenvolvidos, mas eu acho que tem a ver com questões estruturais, tanto de infraestrutura propriamente dita quanto de capital humano.","ctid:325","1 Desenvolvimento que prioriza a economia","","Visão sobre desenvolvimento","Núcleo Profundo"
"Entrevistado 10.docx","default","A gente já cansou de ir para reunião no CONAPACC. Levar as pautas, discutir...Chega lá, não avança. O Instituto Chico Mendes não tem estrutura, não tem pernas. Para ajudar o município nas fiscalizações. Eles cobram muito da gente, mas eles não têm pernas para ajudar o vento federal. Todas as solicitações que a gente manda, principalmente na época do verão, pedindo ajuda, não vem. E o Cepene é bem próximo aqui, em Alagoas também. A gente fica nessa área aqui de mãos atadas porque o CONAPACC tem a vontade de fazer o ICMBIO, que é o que encabeça tudo lá no Cepene. Tem a vontade dos concursados, mas nesses últimos quatro anos, esse desmonte ambiental que houve no Brasil, trocou quatro chefes do NGI. Então quando troca esses chefes, que é um cargo executivo, é um cargo de confiança do Ministério, então assim, desmonta tudo e tudo é na mão dele. Ele é quem faz as políticas públicas da unidade de conservação. E assim, funcionou até um certo tempo, mas em meados de 2020 para cá, nada que se discute lá não está tendo eficácia. E a verdade é essa, a gente não vem tendo eficácia nas discussões das políticas públicas, não tem estrutura, esse ICMBio está sem estrutura, então a gente vai, participa, a gente tem muitos colegas, a gente leva as portas, discute, aprova, faz a votação, mas assim, já cansei de ver amigos lá dos setores, de outras cidades, tudo que a gente vem aqui conversa, se conversa e não chega ao objetivo. É um conselho forte, tem pessoas com níveis intelectuais bons, pessoal da Fundação Joaquim Nabuco que está presente, pessoal da Capitania, da Marinha do Brasil, do Ibama, mas assim, a gente não tem uma eficácia legal, tem várias discussões","ctid:28","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
